tema,domanda,esempio_ospite_reale,priorita,risposta_proposta,fonte,stato
spiaggia_lido,"La spiaggia è inclusa nella tariffa della camera o si paga a parte?","Scusi ma la spiaggia si paga anche essendo ospiti dell'Hotel?",alta,"Il servizio spiaggia non è sempre incluso automaticamente: dipende dalla tariffa/pacchetto scelto. Con l'opzione 'Spiaggia inclusa' hai diritto a 1 ombrellone + 2 lettini presso il lido convenzionato Panorama Beach (max 4 persone per postazione, file dalla 1 alla 6). Il PREZZO del servizio quando non incluso va confermato dallo staff.","FAQ baseline (voce lido) + risposte bot ricorrenti",grounded_prezzo_da_verificare
spiaggia_lido,"I lettini in spiaggia sono gratuiti?","please tell me for Panorama Hotel the sunbeds at the beach are free of charge?",alta,"Idem sopra (versione EN): beach service is not always included; with the 'Beach included' option you get 1 umbrella + 2 sunbeds at Panorama Beach. Otherwise it's a paid extra — price to be confirmed by staff.","FAQ baseline + risposte bot",grounded_prezzo_da_verificare
piscina,"L'Hotel Panorama ha una piscina? È accessibile agli esterni?","hotel panorama ha una piscina o devo andare nell'Angelina residence?",alta,"L'Hotel Panorama ha una piscina sul rooftop, gratuita per gli ospiti della struttura. Non esiste un day-pass per esterni: la piscina è riservata agli ospiti di Hotel Panorama e Angelina Residence.","Risposte bot ricorrenti (transcript)",grounded
camere,"L'Hotel Panorama ha camere triple?","Hotel panorama ha camere triple?",media,"Sì, l'Hotel Panorama dispone di camere triple (oltre a Doppia ed Executive Double). Disponibilità e prezzo per le date richieste vanno verificati sul link di prenotazione.","Transcript (preventivi tripla generati dal bot)",grounded
checkin,"Posso fare il check-in a tarda notte (es. dopo mezzanotte/alle 2)?","Our flight is delayed – will we be able to check in at 2 a.m. or later?",media,"Sì, la reception è operativa h24: il check-in è possibile anche di notte. Per arrivi molto tardi è consigliato avvisare in anticipo. Il check-in standard parte comunque dalle 16:00.","FAQ baseline (Reception h24) + transcript",grounded
pagamenti,"Come pago l'acconto per confermare la prenotazione?","I understand I must pay a deposit — how do I pay it?",media,"L'acconto si versa tramite bonifico bancario (Orti srl, IBAN IT18X0103076230000001194052, BIC PASCITM1SAM; causale: Cognome, Nome e n. prenotazione). Inviare copia della contabile entro 24h a info@panoramagroup.it o WhatsApp +39 089 877 202. L'IMPORTO/percentuale dell'acconto va confermato dallo staff.","FAQ baseline (Coordinate bancarie) + transcript",grounded_importo_da_verificare
colazione,"Chi non alloggia / non ha la colazione inclusa può farla? A che prezzo?","do you offer breakfast to people who are not guests in the hotel?",media,"Per gli ospiti senza colazione nel trattamento è acquistabile il buffet sulla terrazza (7:30–10:30) a tariffa promozionale (es. CVM/Angelina: €10 adulti, €8 bambini). Per persone NON alloggiate la disponibilità/prezzo vanno confermati dallo staff.","FAQ baseline (Colazione CVM/Angelina)",grounded_esterni_da_verificare
trasporti,"Offrite un servizio transfer da Salerno/Napoli/aeroporto? Con quali partner e a che prezzo?","we will be staying 1 week, arriving 27/9. Does the hotel have a transfer service?",media,"È possibile organizzare un transfer con operatori convenzionati; la richiesta si fa tramite il modulo dedicato. Tariffa in base a numero persone, orario e punto di pick-up. NOMI partner e PREZZI specifici → da fornire allo staff.","FAQ baseline (Servizio taxi/transfer form)",grounded_prezzi_da_verificare
sconti,"Avete un codice sconto / promozioni attive?","Any discount code please?",bassa,"[DA VERIFICARE STAFF] — nessuna informazione su codici sconto/promozioni nella knowledge base né nei transcript.",nessuna,da_verificare_staff
ristorazione,"Mi consigliate un ristorante locale a Maiori a piedi dall'hotel?","can you recommend a local authentic restaurant in Maiori within walking distance?",bassa,"[DA VERIFICARE STAFF] — il bot dispone solo del ristorante interno (Panorama Roof Terrace); raccomandazioni esterne non sono in knowledge base. Decidere se è in scope per Emma.",nessuna,da_verificare_staff
ristorazione,"Prezzi e menù della cena al ristorante / mezza pensione?","info riguardo disponibilità di pranzo e cena presso il vostro ristorante soggiornando in hotel",media,"[DA VERIFICARE STAFF] — il Panorama Roof Terrace offre menù à la carte con specialità locali; PREZZI cena e tariffa mezza pensione non documentati. Da fornire allo staff.","Transcript (descrizione ristorante) — prezzi assenti",da_verificare_staff
alloggio,"L'hotel ha l'ascensore?","does the hotel have an elevator?",bassa,"[DA VERIFICARE STAFF] — informazione non presente in knowledge base.",nessuna,da_verificare_staff
